guarded_log: /Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: started pid=54870 mode=quiet
run_guarded: running elapsed=1h25m09s idle=6s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=1h30m10s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=1h35m10s idle=8s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=1h40m11s idle=8s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=1h45m11s idle=5s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=1h50m12s idle=4s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=1h55m13s idle=15s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=2h00m13s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=2h05m14s idle=8s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=2h10m15s idle=7s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=2h15m15s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=2h20m16s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=2h25m17s idle=7s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=2h30m17s idle=6s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=2h35m17s idle=4s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=2h40m18s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=2h45m19s idle=2m37s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=2h50m19s idle=7m37s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=2h55m19s idle=12m37s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=3h00m19s idle=17m38s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=3h05m20s idle=22m38s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=3h10m20s idle=27m38s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=3h15m21s idle=32m39s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=3h20m21s idle=37m39s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=3h25m22s idle=42m40s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=3h30m22s idle=47m40s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=3h35m23s idle=52m41s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=3h40m23s idle=57m41s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=3h45m24s idle=1h02m42s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=3h50m24s idle=1h07m42s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=3h55m25s idle=1h12m43s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=4h00m25s idle=1h17m43s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=4h05m26s idle=1h22m44s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=4h10m26s idle=1h27m45s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=4h15m27s idle=1h32m45s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=4h20m27s idle=1h37m46s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=4h25m28s idle=1h42m46s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=4h30m29s idle=1h47m47s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=4h35m29s idle=1h52m47s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log
run_guarded: running elapsed=4h40m29s idle=1h57m47s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case3_resume_375_to_1500.log

run_guarded: TIMEOUT -> idle timeout 7200.0s exceeded
