guarded_log: /Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: started pid=80364 mode=quiet
run_guarded: running elapsed=1h20m08s idle=1m11s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=1h25m09s idle=1m08s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=1h30m09s idle=1m05s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=1h35m09s idle=1m02s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=1h40m09s idle=59s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=1h45m10s idle=57s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=1h50m11s idle=54s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=1h55m11s idle=52s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=2h00m12s idle=50s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=2h05m13s idle=48s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=2h10m13s idle=28s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=2h15m13s idle=55s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=2h20m14s idle=53s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=2h25m15s idle=51s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=2h30m16s idle=49s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=2h35m17s idle=47s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=2h40m17s idle=45s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=2h45m18s idle=42s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=2h50m18s idle=40s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=2h55m19s idle=38s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=3h00m19s idle=36s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=3h05m20s idle=35s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=3h10m21s idle=1m48s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=3h15m21s idle=6m48s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=3h20m22s idle=11m49s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=3h25m22s idle=16m49s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=3h30m23s idle=21m50s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=3h35m23s idle=26m51s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=3h40m24s idle=31m51s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=3h45m25s idle=36m52s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=3h50m25s idle=41m52s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=3h55m26s idle=46m53s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=4h00m26s idle=51m53s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=4h05m27s idle=56m54s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=4h10m27s idle=1h01m54s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=4h15m28s idle=1h06m55s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=4h20m28s idle=1h11m56s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=4h25m29s idle=1h16m56s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=4h30m30s idle=1h21m57s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=4h35m30s idle=1h26m57s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=4h40m31s idle=1h31m58s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=4h45m31s idle=1h36m58s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=4h50m32s idle=1h41m59s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=4h55m32s idle=1h46m59s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=5h00m33s idle=1h52m00s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=5h05m33s idle=1h57m01s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log

run_guarded: TIMEOUT -> idle timeout 7200.0s exceeded
